"","HeFTy.ID","Max.time..Ma.","Min.time..Ma.","Max.temp..C.","Min.temp..C.","Max.good.time..Ma.","Min.good.time..Ma.","Mean.good.time..Ma.","SD.good.time..Ma.","Max.good.temp..C.","Min.good.temp..C.","Mean.good.temp..C.","SD.good.temp..C.","Sample","Table.ID","Type"
"58",4,993.15,949.7,20,0,993.110527184376,949.731711548,975.000673282238,12.9488843400338,19.99542356,0.05054292,10.04193561108,5.74155337030324,"1_z031","2a","Less_Restrictive"
"68",5,993,487.5,285,0,992.906992547942,489.65837434697,796.413045724959,153.746685834078,284.684029335,0.082382385,115.77144729162,69.7802472312121,"1_z031","2b","Less_Restrictive"
"78",6,992,487,40,0,991.215855695,487.091315961269,685.943787929673,161.233045089479,39.98775568,0.0123318,19.937747724,11.491321747261,"1_z031","2b.1","Less_Restrictive"
"88",7,497,485,40,0,496.987894916,485.011645270696,490.935120148042,3.51769313960153,39.94613724,0.02812908,20.28133152924,11.4669437791975,"1_z031","3a","Less_Restrictive"
"98",8,496,201,100,70,494.527936135,201.121188137791,350.453605593098,83.3065735731521,99.99019621,70.06136602,85.4660005778199,8.52540208853431,"1_z031","3b","Less_Restrictive"
"108",9,251,2.6,20,0,250.9226214128,3.33949886506893,126.460934384526,71.7868587577999,19.98324268,0.0185901,9.65640860395999,5.72058129901248,"1_z031","3b.1","Less_Restrictive"
"118",10,2.6,1e-06,20,0,2.5999784330083,0.003023894037348,1.31115022243484,0.757294364987994,19.99511714,0.00720212,9.95313214288,5.87147894538465,"1_z031","3c","Less_Restrictive"
"128",11,0,0,22,20,0,0,0,0,21.995637902,20.001997262,20.99908228826,0.579458185845261,"1_z031","3c*","Less_Restrictive"
"29",1,1314,1178,1000,950,1313.95553621714,1178.072583608,1259.54445256478,39.0690873234761,999.89260545,950.0116012,974.944092777951,14.2741562638129,"1_z049","1a","Less_Restrictive"
"39",2,1313.9,993.1,1000,20,1313.76167440583,1002.80836417628,1191.97241628982,60.258882664689,996.71094948,20.71514716,488.915179538399,273.639536232477,"1_z049","1a.1","Less_Restrictive"
